agent_id,client_type,satisfaction,age,income,products
1,retail,0.343006423885492,46,1193.48,1
2,retail,0.7920276741932197,47,488.72,2
3,retail,0.31774028536200405,43,1463.08,1
4,retail,0.6427908500814543,46,749.01,1
5,retail,0.7374085566533227,36,743.0,1
6,retail,0.8950992190687893,35,880.18,1
7,retail,0.7776957747316676,35,986.14,1
8,retail,0.8600763125355714,51,3819.39,3
9,retail,0.37372981779435055,61,827.96,1
10,retail,0.7287918893840014,29,795.49,2
11,retail,0.6377747243857143,19,1128.39,1
12,retail,0.675097005864966,60,635.42,1
13,retail,0.5774313359809016,40,924.91,1
14,retail,0.6124218525519634,34,852.54,1
15,retail,0.8446035367884102,31,842.75,1
16,retail,0.7795437800195218,42,495.0,1
17,retail,0.7777214833650304,25,1382.49,1
18,retail,0.6134334265117735,27,561.43,1
19,retail,0.8042648184395783,44,1394.1,1
20,retail,0.6772830850638901,57,532.45,1
21,retail,0.591128407885474,42,629.47,1
22,retail,0.397689845299818,40,400.0,1
23,retail,0.6995177791378075,40,739.31,1
24,retail,0.5394764682574966,52,1552.32,1
25,retail,0.724993342233457,37,1107.24,1
26,retail,0.596817538119145,27,752.82,1
27,retail,0.34112967074053047,57,600.69,1
28,retail,0.6453675503639316,53,798.96,1
29,retail,0.5885534078559814,24,1030.74,1
30,retail,0.7753230316948393,28,1441.19,1
31,retail,0.7312006606094886,34,976.2,1
32,retail,0.7206857637614291,43,887.88,1
33,retail,0.46741685093618784,35,815.84,1
34,retail,0.4218527037551855,44,3417.35,2
35,retail,0.824789009661725,37,400.0,1
36,retail,0.887409931917944,46,505.91,1
37,retail,0.5506340303342901,42,1898.26,1
38,retail,0.613338220197923,27,2012.07,1
39,retail,0.5255827449770895,47,725.64,1
40,retail,0.5234522854233746,49,1257.4,1
41,retail,0.387938938903369,28,876.59,1
42,retail,0.645728540852528,34,931.75,1
43,retail,0.5365417195188376,54,1766.05,1
44,retail,0.6812707720746592,40,1315.19,1
45,retail,0.38946045317114464,51,1464.71,1
46,retail,0.541479914258702,54,1123.13,1
47,retail,0.3574273426005342,46,1052.9,1
48,retail,0.7985341934887648,37,1296.73,1
49,retail,0.4566250571124274,26,1557.73,1
50,retail,0.7776514156668702,51,2066.31,2
51,retail,0.8496186098350268,18,921.78,1
52,retail,0.539137487948822,45,1678.01,1
53,retail,0.7323214239252797,48,1623.03,1
54,retail,0.34358353973972305,41,1041.32,1
55,retail,0.6082891126460738,30,832.28,1
56,retail,0.836397337838781,48,400.0,1
57,retail,0.5425775167969031,36,625.44,1
58,retail,0.6027341915410295,45,1220.3,1
59,retail,0.507662248714781,49,1439.81,1
60,retail,0.6027432557006996,30,718.69,1
61,retail,0.6472716198129308,29,1443.62,1
62,retail,0.5464366058590758,32,957.95,1
63,retail,0.5487460459657242,38,1895.83,1
64,retail,0.7392817603922461,24,2283.06,2
65,retail,0.4429869775602078,19,438.94,1
66,retail,0.8154913293959336,37,861.31,1
67,retail,0.617005840136091,30,400.0,1
68,retail,0.7689726774135773,19,2003.83,1
69,retail,0.6500676398358747,55,538.71,1
70,retail,0.6658364529928932,29,1503.92,1
71,retail,0.6895824963411767,56,1713.57,1
72,retail,0.3555240382990771,24,3241.94,3
73,retail,0.7307702720842031,36,677.01,1
74,retail,0.7501646121639948,38,746.05,1
75,retail,0.7369168471625867,25,731.94,1
76,retail,0.7859530530639717,53,728.5,1
77,retail,0.5278069009114027,21,1252.98,1
78,retail,0.9357262113807736,43,822.44,1
79,retail,0.7898437504428572,27,616.67,1
80,retail,0.39780798765446196,31,1282.43,1
81,corporate,0.7093902484145129,40,2603.3175,2
82,corporate,0.5497596989612146,40,6787.389999999999,2
83,corporate,0.7967254681240841,40,4274.890833333334,2
84,corporate,0.7921360484477594,40,4672.0824999999995,1
85,corporate,0.781883219935306,40,5114.805,2
86,corporate,0.6948806043486709,40,8079.0275,3
87,corporate,0.43100365195299417,40,5425.706666666667,4
88,corporate,0.6809154472068465,40,2433.266666666667,2
89,corporate,0.5075436500942566,40,5757.694166666667,1
90,corporate,0.7645138572107969,40,4619.549166666667,2
91,corporate,0.442850394177534,40,1581.2700000000002,1
92,corporate,0.5981230694970501,40,7875.850833333334,1
93,corporate,0.49124528445443766,40,1064.0308333333335,1
94,corporate,0.5759689598807128,40,2048.2933333333335,1
95,corporate,0.7622004995752485,40,8252.300000000001,3
96,corporate,0.4696641038255497,40,3259.23,2
97,corporate,0.6641317768805333,40,3377.414166666667,1
98,corporate,0.6513106829372856,40,2373.145,2
99,corporate,0.5334559595868023,40,4042.8416666666667,1
100,corporate,0.7795527169662554,40,6713.925,2
