client_id,age,monthly_income,gender,governorate,education_level,employment_sector,preferred_channel,risk_tolerance,satisfaction_score,digital_engagement_score,age_group,income_quintile,digital_adoption,risk_income_ratio
R_001,0.021239473376834114,-1.500530668584941,0,1,1,0,1,-0.9076527062532598,-1.6090964473566602,-0.48083017132945505,middle_age,Q1,0.4054842590210995,1.2727460603857368
R_002,0.4683862813101809,-1.1133083328594395,0,3,0,1,1,-1.1733470536510993,-1.2765648108027596,-1.1557262721461496,senior,Q1,0.23412485466888977,0.812681596679082
R_003,0.4683862813101809,1.0719445109621748,0,2,1,2,0,1.2641334674351257,-1.133393623136018,0.14664329779925614,senior,Q5,0.4901034676877847,7.447825499033041
R_004,1.5303599501518794,1.5465290022063582,0,3,2,0,2,0.8165084864097347,0.26472427429789974,0.2167220493598338,elderly,Q5,0.4119418480413353,6.3633478091749645
R_005,-0.14644057959817094,1.7171172377506552,0,1,0,2,0,1.1111531164139274,0.06405919667514359,1.6407162566202207,middle_age,Q5,0.8369868753102072,7.199837355940857
R_001,1.0832131422185327,-1.5123298127267222,1,1,2,1,2,-1.5293418281244684,-0.9816681462051474,-0.1746045091127185,elderly,Q1,0.37373692918410445,0.011001941231362562
R_002,1.0832131422185327,-0.8059766953155795,1,1,1,2,0,-1.524177855382385,0.901465483792379,-1.0060367937242647,elderly,Q2,0.21032027085192595,0.024960869085630534
R_003,1.3626798971768745,1.7034666923389963,1,2,2,2,2,1.368186570877254,-0.5534453513047006,0.3531226763412069,elderly,Q5,0.4532672976499818,7.895891629979993
R_004,-0.8171607914981911,-1.6344609929451235,1,0,2,0,2,1.1472759342403611,-0.7881925275788213,1.3506131745130365,young_adult,Q1,0.8380321042077231,5.07179975615841
R_005,0.3565995793268442,-0.22865239664282974,0,1,1,1,0,1.5915643225022367,1.0515183011137084,0.6140995145032134,senior,Q3,0.5916586433725375,7.765506056409628
R_001,0.803746387260191,0.411042904450086,0,2,2,1,1,-0.1521286825990379,-0.16696760276288108,-0.487576624625142,senior,Q4,0.3364163191546944,3.572490989427541
R_002,0.4683862813101809,-1.0738960503901478,1,2,2,0,1,0.09268831835513874,-0.9078720554372582,0.7078009998299685,senior,Q1,0.6003980980028292,3.684452791501295
R_003,-1.6555610563732164,-0.08844340924505878,1,2,2,1,1,1.4133445562703495,0.8479593663517667,1.2469990844123844,young,Q3,0.8902475690966491,7.396198802882344
R_004,-0.20233393058983928,0.7839958435099043,1,2,2,1,0,-1.1385927674847232,0.5672815289497593,-0.22196518842189084,middle_age,Q4,0.4757185875568606,1.0418867732322998
R_005,-0.481800685548181,-1.493725123402529,0,3,2,2,2,-0.6061465782920648,0.4448773470224719,1.254418220493197,middle_age,Q1,0.7900928849567236,1.8898342728675603
R_001,1.5862533011435478,1.0806979142202915,0,0,0,0,1,-0.02079450947942677,-1.4295148658596744,-1.3689309921376394,elderly,Q5,0.09544562143595972,4.030046326985454
R_002,-1.0407341954648646,-1.0815651454622541,1,2,1,2,2,-0.4193595090789957,-0.5602921904677722,-1.7262577976168936,young_adult,Q1,0.2526329759486128,2.521937800967488
R_003,0.8596397382518594,-1.0541595702732292,0,0,2,0,0,1.699462302296112,-1.00415690802741,-0.7050500120558877,senior,Q1,0.28883357017560696,7.3461520787150185
R_004,-0.5935873875315177,0.619146200295505,0,3,0,2,1,0.9877707325150603,0.6661477343402552,0.09654251304172713,middle_age,Q4,0.5721917240978651,6.584556584699369
