client_id,company_name,business_sector,company_size,employee_count,annual_revenue,headquarters_governorate,credit_rating,digital_maturity_score,cash_flow_predictability,seasonal_variation,revenue_per_employee,company_maturity,business_volatility,digital_readiness
C_00001,Company_001,0,2,-0.5236822237089982,1.4997364233653245,0,2,0.19873353648449762,-0.07965587303400469,-1.1056093444444368,58220.35012969,2.21303324922164,0.33291156807368405,0.6610274865065411
C_00002,Company_002,2,2,1.3846062247989055,0.1441776611682442,2,0,-0.5058903494813898,0.404631276778941,-0.7074921949372203,12090.828089822147,1.8327049892253973,0.23585945307775957,0.4937478769474375
C_00003,Company_003,0,0,0.6864519143691847,-0.2583591311020714,2,2,1.4918437267043048,0.7743732815313967,-1.4418648428231848,12366.510214159129,3.411003270427421,0.16176241462047414,0.9530099728006739
C_00004,Company_004,1,2,1.1053445006270173,-1.2291385564078128,2,1,1.2298280017216263,-0.06274591197482789,-1.5653874082572279,3468.1595386988993,2.769577487454261,0.3295227780016664,0.9011396770990789
C_00005,Company_005,0,0,-1.2883274208463116,0.5450076332471374,1,0,1.487612182915431,-1.7390233178866263,-0.8986208766254995,143188.84502201763,3.4087192495215524,0.6654521282362511,0.9314260024503933
C_00006,Company_006,1,1,-1.1686438247726452,-0.7367009545186142,2,0,-0.40289552625015157,-0.9840628108790431,-0.6310501800811009,44460.39383599774,1.3882975439036442,0.5141565302180466,0.5130762901337242
C_00007,Company_007,0,1,1.018906347907147,1.1047074536185673,1,1,1.2191504451127835,-1.3530784748314646,0.07977458436776508,20917.08198989252,2.2638141623570913,0.5881080085239252,0.8362361480330478
C_00008,Company_008,1,0,-0.1380350808049619,1.5137885330964755,2,2,-1.6420970341770944,0.22927548848930177,-0.2874992901190683,42988.55497526461,1.7194253091105824,0.2710011043416026,0.23245532970742078
C_00009,Company_009,0,1,1.205080830688406,0.5069940164936063,2,1,-0.4866641800418106,0.8461532907527618,-0.06677311682750692,15381.775927580818,1.343082519302063,0.1473775569754774,0.4735196117082605
C_00010,Company_010,1,2,0.9324681951872769,0.4519853427878322,1,2,0.2808120071957996,-0.6818614550768468,-1.1510702946837654,16618.844803028587,2.257335979473242,0.4535947731147095,0.6804783618284103
C_00011,Company_011,1,1,-0.16463143548799888,-0.36292730325556477,2,2,0.7978962723657339,0.05442875942269548,-0.31595451204778807,18309.234888145555,2.0364377283075665,0.3060407391173505,0.7603430148654908
C_00012,Company_012,1,0,-0.011702396060536214,-0.0538317757716583,1,1,-1.6453539827259267,0.5801658435898766,-0.6946042440275086,20330.733940450536,1.7176673363833639,0.20068197424010137,0.24724243096115942
C_00013,Company_013,1,0,-0.7364530611732941,-0.5933579823587143,2,1,0.013557764926840852,-0.6226782082406247,-1.0430465594772933,25301.346949834257,2.613082650905711,0.44173433188681455,0.6186667413803618
C_00014,Company_014,1,2,-0.6167694650996277,0.5623072590254,0,0,1.5818343199747917,-1.0811627846919405,1.1591768861544718,45150.90695176985,2.9595766532438117,0.5336155594907219,0.8734700277314298
C_00015,Company_015,2,1,1.318115338091313,0.5881104209462119,1,0,-0.21411062720761373,-0.34642498011201656,-1.5430043010442367,15325.344808707325,1.490196207284878,0.3863726315512003,0.5885354907242082
C_00016,Company_016,0,0,-0.6899094404779794,-0.11459054871574316,2,0,-0.511986541546257,-0.8468695347699845,-0.3410495587506916,34274.73442848249,2.329414504518857,0.48666272284622847,0.47848858860064497
C_00017,Company_017,2,2,1.1319408553100543,-0.16928478276895909,1,0,0.38112346560974264,1.1608046519348845,-1.095636572938126,10979.792854228259,2.3114801593628624,0.08432079385288249,0.7000267879092591
C_00018,Company_018,0,1,-0.37075318428153553,-1.6237517197042024,2,0,1.5070254703598092,1.216114113675555,0.3370245784765321,1392.5181254614658,2.4191977785376477,0.0732366669184974,0.8886012658159705
C_00019,Company_019,2,2,-1.5875364110304777,-1.2697829897458852,0,1,-1.6609849033522113,-0.8530026564250525,0.8111149331279199,1289434.3895112479,1.2092303802109443,0.4878918127123989,0.1865752303880024
C_00020,Company_020,0,2,-0.2843150315616653,-1.6906375617378795,0,1,1.4844239096678564,0.8933589947761891,0.6198945203898932,309.58393171962587,2.9069983450208765,0.1379174393219018,0.8729583280509355
C_00021,Company_021,0,1,-1.3215728642001079,-1.5332091119726854,0,2,-0.8862010093282846,-1.0239689696490522,-0.14700414174117468,12695.393972435399,1.1274282530850686,0.5221538043796436,0.39031068524447166
C_00022,Company_022,0,0,-1.1952401794556822,0.43912400338373664,1,2,-1.6581732649341956,1.0210383174966111,-0.7225263036693169,104626.99392351897,1.7107479920440951,0.11233024726848817,0.2455371239493208
C_00023,Company_023,2,0,-1.1021529380650528,1.4922208595884914,0,1,-1.2546454877766422,1.102314388406024,0.6903604799066811,126372.14787497288,1.92855641495344,0.09604235983772735,0.2789003354643771
C_00024,Company_024,2,0,-0.6300676424411461,-1.3919943284867065,0,2,1.0837423182698305,0.2004638726282072,-0.23801056968539214,6432.466644537899,3.1907261812408447,0.2767750098785333,0.8190926392082676
C_00025,Company_025,0,0,-1.5675891450182,0.6744778808597632,2,0,1.195314491630403,-1.1887896368778037,1.244440183967051,1741150.46667294,3.250948452162101,0.5551841962778559,0.786774489948946
