client_id,age,monthly_income,gender,governorate,education_level,employment_sector,preferred_channel,risk_tolerance,satisfaction_score,digital_engagement_score,age_group,income_quintile,digital_adoption,risk_income_ratio
R_00001,0.4686775801990146,1.5142035532562805,0,2,2,0,0,0.05254158583052184,1.2887299453220828,1.166901527609003,senior,Q5,0.7175976537417754,4.926326459671438
R_00002,-0.26354313156485887,-1.1663843323878578,1,0,2,1,2,0.05977687383678685,0.9503443566521367,-1.359493872207743,middle_age,Q1,0.24853197347959155,4.146823970112322
R_00003,-0.4325171419719066,-1.2703213376240403,0,1,2,1,2,-1.6921339276002436,1.424265834982924,-0.3143565518744502,middle_age,Q1,0.4831168047543946,0.1398529017061102
R_00004,1.0319242815558403,1.197006276413478,0,3,1,1,2,1.132977102039827,1.690415226805446,-0.057286161974418465,elderly,Q5,0.4114402229582576,7.791291340118252
R_00005,-1.2773871940071453,-0.42436844359627807,1,3,1,0,2,0.671194373345082,0.7512007756479695,0.959750889639309,young,Q2,0.8239791060353668,6.030798034855303
R_00006,0.5813269204703797,0.3941364754289813,0,0,2,2,0,1.3955018401118648,1.1581134116532061,0.5173705005277547,senior,Q4,0.5711521299330131,8.229401924189949
R_00007,-1.1647378537357802,-1.2273517708383668,0,0,2,1,2,-1.0453645361083626,-0.998593087225085,-1.2514522009564046,young_adult,Q1,0.34870105691168396,1.60316867794447
R_00008,1.5951709829126661,-1.1757792174491128,0,0,2,1,0,-1.6628137993163064,-1.3206939705197063,0.17692217914378827,elderly,Q1,0.4123690626466778,0.20927165662630257
R_00009,-1.6716598849569233,-0.5843202825003296,0,2,2,0,0,-0.2551097638960768,-0.8308098618457552,-1.0348964156764129,young,Q2,0.43784838082040284,3.678538493775854
R_00010,-0.7704651627860021,1.2467444763457864,0,2,0,2,2,-0.001132866520048352,1.0017343364393292,0.6380513410860701,young_adult,Q5,0.7126922497587272,4.739125474242106
R_00011,1.3698723023699357,1.264554048080505,0,3,0,0,1,0.5323747007271454,0.030146517741615506,-0.35009810298751487,elderly,Q5,0.3207521971719235,6.18479822503412
